====NoRpc====            1            2            3            4            5            6            7            8
       ibdNum       207422       210927       189108        93355        27585        27640        27305        14016
      daqTime      389.401      389.401      392.329      392.329      390.511      390.511      390.511      390.511
      epsi_mu     0.824247     0.821057       0.8576     0.883769     0.980617     0.980597     0.980341     0.983516
   epsi_multi     0.980439     0.980839     0.983703     0.998088     0.975537     0.975344      0.97496     0.989034
       accNum      2837.34      2818.26      2254.13      1215.82      751.797      710.526      696.712       261.39
           +-      28.9544      28.7547      23.0849      12.7041      8.06682      7.65854       7.5252      3.11842
      accRate       8.8401      8.81475      6.69952      3.50655      1.96321      1.85548      1.81988     0.680573
           +-    0.0902112    0.0899369    0.0686108      0.03664    0.0210654    0.0199996    0.0196566   0.00811932
   accNum_600      2829.68      2811.08      2250.46       1213.9      751.681      710.419      696.604      261.347
           +-      28.9544      28.7547      23.0849      12.7041      8.06682      7.65854       7.5252      3.11842
  accRate_600      8.81621      8.79231       6.6886      3.50102      1.96291       1.8552       1.8196      0.68046
           +-    0.0902112    0.0899369    0.0686108      0.03664    0.0210654    0.0199996    0.0196566   0.00811932
        fnNum      250.549      250.549      156.653      156.653      16.6557      16.6557      16.6557      16.6557
           +-      43.0591      43.0591      41.6136      41.6136      1.80357      1.80357      1.80357      1.80357
         fnBs    0.0011978    0.0011978   0.00110919   0.00110919  0.000690065  0.000690065  0.000690065  0.000690065
           +-            0            0            0            0            0            0            0            0
       fnRate      0.64342      0.64342      0.39929      0.39929    0.0426512    0.0426512    0.0426512    0.0426512
           +-     0.110578     0.110578     0.106068     0.106068   0.00461848   0.00461848   0.00461848   0.00461848
===WithRpc===            0            0            0            0            0            0            0            0
       ibdNum       207422       210927       189108        93355        27585        27640        27305        14016
          (-)            0            0            0            0            0            0            0            0
      daqTime      389.401      389.401      392.329      392.329      390.511      390.511      390.511      390.511
          (-)            0            0            0            0            0            0            0            0
      epsi_mu     0.824247     0.821057       0.8576     0.883769     0.980617     0.980597     0.980341     0.983516
          (-)            0            0            0            0            0            0            0            0
   epsi_multi     0.980439     0.980839     0.983703     0.998088     0.975537     0.975344      0.97496     0.989034
          (-)            0            0            0            0            0            0            0            0
       accNum      2837.34      2818.26      2254.13      1215.82      751.797      710.526      696.712       261.39
           +-      28.9544      28.7547      23.0849      12.7041      8.06682      7.65854       7.5252      3.11842
          (-)           -0           -0           -0           -0           -0           -0           -0           -0
      accRate       8.8401      8.81475      6.69952      3.50655      1.96321      1.85548      1.81988     0.680573
           +-    0.0902112    0.0899369    0.0686108      0.03664    0.0210654    0.0199996    0.0196566   0.00811932
          (-)           -0           -0           -0           -0           -0           -0           -0           -0
   accNum_600      2829.68      2811.08      2250.46       1213.9      751.681      710.419      696.604      261.347
           +-      28.9544      28.7547      23.0849      12.7041      8.06682      7.65854       7.5252      3.11842
          (-)           -0           -0           -0           -0           -0           -0           -0           -0
  accRate_600      8.81621      8.79231       6.6886      3.50102      1.96291       1.8552       1.8196      0.68046
           +-    0.0902112    0.0899369    0.0686108      0.03664    0.0210654    0.0199996    0.0196566   0.00811932
          (-)           -0           -0           -0           -0           -0           -0           -0           -0
        fnNum      250.549      250.549      156.653      156.653      16.6557      16.6557      16.6557      16.6557
           +-      43.0591      43.0591      41.6136      41.6136      1.80357      1.80357      1.80357      1.80357
          (-)            0            0            0            0            0            0            0            0
         fnBs    0.0011978    0.0011978   0.00110919   0.00110919  0.000690065  0.000690065  0.000690065  0.000690065
           +-            0            0            0            0            0            0            0            0
          (-)            0            0            0            0            0            0            0            0
       fnRate      0.64342      0.64342      0.39929      0.39929    0.0426512    0.0426512    0.0426512    0.0426512
           +-     0.110578     0.110578     0.106068     0.106068   0.00461848   0.00461848   0.00461848   0.00461848
          (-)            0            0            0            0            0            0            0            0
