            1            2            3            4            5            6            7            8
       102120       103188        93864            0        13917        13855        13681            0
      190.995      190.995      189.646      189.646      189.786      189.786      189.786      189.786
     0.823108     0.819887     0.857464     0.911921     0.981092     0.981077      0.98073     0.987091
     0.970524     0.970913     0.973066      1.00084     0.973808     0.973613     0.973353      1.00006
       1434.4      1396.34      1150.39            0      526.261      514.969      504.035            0
      14.9224      14.5323      12.0426            0      5.81478      5.70578      5.59913            0
      9.12412      8.91691      7.07433            0      2.82636      2.76576      2.70799            0
    0.0949206    0.0928019     0.074056            0    0.0312292    0.0306442    0.0300821            0
      1430.51      1392.78       1148.5            0      526.184      514.896      503.959            0
      14.9224      14.5323      12.0426            0      5.81478      5.70578      5.59913            0
       9.0994      8.89418      7.06269            0      2.82595      2.76537      2.70759            0
    0.0949206    0.0928019     0.074056            0    0.0312292    0.0306442    0.0300821            0
       118.37       118.37      43.9737      43.9737      5.88779      5.88779      5.88779      5.88779
      20.0379      20.0379      11.7071      11.7071     0.724186     0.724186     0.724186     0.724186
    0.0011531    0.0011531  0.000936966  0.000936966  0.000568141  0.000568141  0.000568141  0.000568141
            0            0            0            0            0            0            0            0
     0.619756     0.619756     0.231872     0.231872    0.0310233    0.0310233    0.0310233    0.0310233
     0.104913     0.104913    0.0617313    0.0617313   0.00381581   0.00381581   0.00381581   0.00381581
            0            0            0            0            0            0            0            0
       102120       103188        93864            0        13917        13855        13681            0
            0            0            0            0            0            0            0            0
      190.995      190.995      189.646      189.646      189.786      189.786      189.786      189.786
            0            0            0            0            0            0            0            0
     0.823108     0.819887     0.857464     0.911921     0.981092     0.981077      0.98073     0.987091
            0            0            0            0            0            0            0            0
     0.970524     0.970913     0.973066      1.00084     0.973808     0.973613     0.973353      1.00006
            0            0            0            0            0            0            0            0
       1434.4      1396.34      1150.39            0      526.261      514.969      504.035            0
      14.9224      14.5323      12.0426            0      5.81478      5.70578      5.59913            0
           -0           -0           -0            0           -0           -0           -0            0
      9.12412      8.91691      7.07433            0      2.82636      2.76576      2.70799            0
    0.0949206    0.0928019     0.074056            0    0.0312292    0.0306442    0.0300821            0
           -0           -0           -0            0           -0           -0           -0            0
      1430.51      1392.78       1148.5            0      526.184      514.896      503.959            0
      14.9224      14.5323      12.0426            0      5.81478      5.70578      5.59913            0
           -0           -0           -0            0           -0           -0           -0            0
       9.0994      8.89418      7.06269            0      2.82595      2.76537      2.70759            0
    0.0949206    0.0928019     0.074056            0    0.0312292    0.0306442    0.0300821            0
           -0           -0           -0            0           -0           -0           -0            0
       118.37       118.37      43.9737      43.9737      5.88779      5.88779      5.88779      5.88779
      20.0379      20.0379      11.7071      11.7071     0.724186     0.724186     0.724186     0.724186
            0            0            0            0            0            0            0            0
    0.0011531    0.0011531  0.000936966  0.000936966  0.000568141  0.000568141  0.000568141  0.000568141
            0            0            0            0            0            0            0            0
            0            0            0            0            0            0            0            0
     0.619756     0.619756     0.231872     0.231872    0.0310233    0.0310233    0.0310233    0.0310233
     0.104913     0.104913    0.0617313    0.0617313   0.00381581   0.00381581   0.00381581   0.00381581
            0            0            0            0            0            0            0            0
