RUN	AD1	AD2	AD3	AD4	IWS	OWS	RPC
21221	0	-5	0	0	58	67	-176
21228	0	-5	0	0	-29	-19	-375
21235	0	-4	0	0	8	67	-275
21344	0	-5	0	0	58	67	-237
21349	0	-5	0	0	58	67	-200
21358	0	-5	0	0	58	67	-175
21367	0	-5	0	0	70	80	-163
21374	0	-5	0	0	70	67	-163
21505	0	-5	0	0	58	67	-188
21508	0	-5	0	0	58	67	-192
21520	0	-5	0	0	58	67	-205
21530	0	-4	0	0	33	80	-243
21540	0	-4	0	0	58	67	-43
21651	0	-5	0	0	58	67	-268
21653	0	-5	0	0	8	67	-294
21660	0	-4	0	0	58	67	-256
21678	0	-4	0	0	58	67	-244
21690	0	-4	0	0	58	67	-181
21804	0	-5	0	0	58	67	-181
21810	0	-4	0	0	-4	67	-131
21829	0	-4	0	0	20	67	-68
21850	0	-4	0	0	58	67	-205
21861	0	-17	0	0	8	67	-255
21868	0	-5	0	0	57	67	0
21872	0	-5	0	0	33	67	-243
21960	0	-4	0	0	20	67	-256
21974	0	-4	0	0	58	67	-255
21982	0	-5	0	0	20	30	-256
22002	0	-4	0	0	45	55	-218
22008	0	-5	0	0	33	67	-243
22111	0	-5	0	0	58	67	-218
22118	0	-5	0	0	33	42	-217
22128	0	-4	0	0	33	80	-56
22138	0	-4	0	0	58	67	-269
22141	0	-5	0	0	45	55	-193
22243	0	-5	0	0	58	67	-193
22261	0	-5	0	0	58	67	-168
22266	0	-5	0	0	58	67	-180
22278	0	7	0	0	33	42	-231
22384	0	-5	0	0	58	67	-179
22396	0	-5	0	0	58	67	-142
22405	0	-5	0	0	45	67	-193
22508	0	-6	0	0	45	67	-218
22516	0	8	0	0	58	67	-193
22529	0	-5	0	0	58	67	-130
22538	0	-4	0	0	83	67	-143
22638	0	-5	0	0	58	67	-194
22647	0	-5	0	0	58	67	-180
22652	0	-4	0	0	70	80	-168
22661	0	-5	0	0	70	80	-168
22762	0	-5	0	0	58	67	-130
22768	0	-5	0	0	-91	67	-268
22781	0	-4	0	0	108	67	-81
22790	0	-4	0	0	95	67	-93
22921	0	-5	0	0	70	67	-358
22932	0	7	0	0	70	79	-120
22949	0	-5	0	0	-66	-57	-245
22953	0	-5	0	0	-66	-57	-246
22954	0	-4	0	0	-66	-57	-247
22957	0	-5	0	0	-66	-57	-247
22962	0	-4	0	0	-66	-57	-249
22963	0	-5	0	0	-66	-57	-244
22968	0	-4	0	0	-66	-57	-249
22970	0	-4	0	0	-66	-57	-251
22973	0	-5	0	0	-79	-69	0
23079	0	-4	0	0	120	130	0
23092	0	-5	0	0	58	67	0
23105	0	69	0	0	132	142	0
23108	0	70	0	0	133	142	-221
23118	0	82	0	0	145	155	-8
23121	0	-4	0	0	58	67	-195
23130	0	-117	0	0	-54	-44	-108
